ID_STAZIONE,"NOME_STAZIONE","LAT","LON"
4,"Chiaravalle 2",43.599523,13.342312
1,"Ancona Cittadella",43.612386,13.510830
11,"Genga",43.468790,12.951980
18,"Urbino",43.733410,12.628990
15,"Pesaro Via Scarpellini",43.893365,12.919033
17,"San Benedetto",42.943038,13.882635
16,"Ripatransone",42.992090,13.784949
10,"Fano Via Monte grappa",43.839486,13.018053
14,"Montemonaco",42.900772,13.336692
8,"Falconara Alta",43.623906,13.392558
3,"Ascoli Monticelli",42.849014,13.621014
2,"Ascoli C. Parignano",42.853065,13.549522
5,"Civitanova Ippodromo",43.336382,13.674541
13,"Macerata Collevario",43.285878,13.428704
7,"Falconara Acquedotto",43.637500,13.372120
9,"Falconara Scuola",43.633761,13.388042
6,"Fabriano",43.333036,12.905721
12,"Jesi",43.527982,13.246672